2025-03-23 08:59:51,559 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 100.00  
2025-03-23 09:11:59,433 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 50.00  
2025-03-23 09:28:37,260 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 33.33, Lagged Accuracy = 66.67, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 33.33  
2025-03-23 09:42:40,370 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 25.00,  Blended Accuracy = 25.00,  RR Accuracy = 25.00  
2025-03-23 09:56:17,441 INFO -- Edge Accuracy = 40.00, Instantaneous Accuracy = 40.00, Lagged Accuracy = 40.00, Counterfactual Accuracy = 20.00,  Blended Accuracy = 20.00,  RR Accuracy = 20.00  
2025-03-23 10:09:51,943 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 16.67,  Blended Accuracy = 16.67,  RR Accuracy = 16.67  
2025-03-23 10:23:02,518 INFO -- Edge Accuracy = 57.14, Instantaneous Accuracy = 57.14, Lagged Accuracy = 42.86, Counterfactual Accuracy = 28.57,  Blended Accuracy = 28.57,  RR Accuracy = 28.57  
2025-03-23 10:35:24,004 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 25.00,  Blended Accuracy = 25.00,  RR Accuracy = 25.00  
2025-03-23 10:51:15,943 INFO -- Edge Accuracy = 55.56, Instantaneous Accuracy = 55.56, Lagged Accuracy = 55.56, Counterfactual Accuracy = 33.33,  Blended Accuracy = 33.33,  RR Accuracy = 33.33  
2025-03-23 11:40:04,882 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 100.00,  RR Accuracy = 100.00  
2025-03-23 12:30:28,879 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 100.00,  RR Accuracy = 100.00  
2025-03-23 12:44:43,918 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 100.00,  RR Accuracy = 50.00  
2025-03-23 12:57:02,201 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 100.00,  RR Accuracy = 33.33  
2025-03-23 13:07:53,632 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 75.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 75.00,  RR Accuracy = 25.00  
2025-03-23 13:23:06,263 INFO -- Edge Accuracy = 80.00, Instantaneous Accuracy = 80.00, Lagged Accuracy = 80.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 80.00,  RR Accuracy = 20.00  
2025-03-23 13:34:09,986 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 66.67, Lagged Accuracy = 66.67, Counterfactual Accuracy = 100.00,  Blended Accuracy = 83.33,  RR Accuracy = 16.67  
2025-03-23 13:44:27,521 INFO -- Edge Accuracy = 71.43, Instantaneous Accuracy = 57.14, Lagged Accuracy = 57.14, Counterfactual Accuracy = 100.00,  Blended Accuracy = 71.43,  RR Accuracy = 28.57  
2025-03-23 13:55:37,709 INFO -- Edge Accuracy = 62.50, Instantaneous Accuracy = 50.00, Lagged Accuracy = 62.50, Counterfactual Accuracy = 100.00,  Blended Accuracy = 75.00,  RR Accuracy = 25.00  
2025-03-23 14:04:22,817 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 55.56, Lagged Accuracy = 66.67, Counterfactual Accuracy = 100.00,  Blended Accuracy = 77.78,  RR Accuracy = 22.22  
2025-03-23 14:13:36,281 INFO -- Edge Accuracy = 70.00, Instantaneous Accuracy = 60.00, Lagged Accuracy = 70.00, Counterfactual Accuracy = 90.00,  Blended Accuracy = 80.00,  RR Accuracy = 20.00  
2025-03-23 14:24:33,178 INFO -- Edge Accuracy = 72.73, Instantaneous Accuracy = 54.55, Lagged Accuracy = 72.73, Counterfactual Accuracy = 90.91,  Blended Accuracy = 81.82,  RR Accuracy = 18.18  
2025-03-23 14:39:19,653 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 75.00, Counterfactual Accuracy = 83.33,  Blended Accuracy = 83.33,  RR Accuracy = 25.00  
2025-03-23 14:50:06,820 INFO -- Edge Accuracy = 76.92, Instantaneous Accuracy = 53.85, Lagged Accuracy = 69.23, Counterfactual Accuracy = 84.62,  Blended Accuracy = 84.62,  RR Accuracy = 23.08  
2025-03-23 15:04:31,497 INFO -- Edge Accuracy = 78.57, Instantaneous Accuracy = 57.14, Lagged Accuracy = 71.43, Counterfactual Accuracy = 78.57,  Blended Accuracy = 85.71,  RR Accuracy = 21.43  
2025-03-23 15:14:24,885 INFO -- Edge Accuracy = 73.33, Instantaneous Accuracy = 53.33, Lagged Accuracy = 73.33, Counterfactual Accuracy = 80.00,  Blended Accuracy = 86.67,  RR Accuracy = 20.00  
2025-03-23 15:24:01,743 INFO -- Edge Accuracy = 68.75, Instantaneous Accuracy = 50.00, Lagged Accuracy = 75.00, Counterfactual Accuracy = 81.25,  Blended Accuracy = 81.25,  RR Accuracy = 18.75  
2025-03-23 15:35:04,306 INFO -- Edge Accuracy = 64.71, Instantaneous Accuracy = 47.06, Lagged Accuracy = 70.59, Counterfactual Accuracy = 76.47,  Blended Accuracy = 76.47,  RR Accuracy = 23.53  
2025-03-23 15:46:36,746 INFO -- Edge Accuracy = 61.11, Instantaneous Accuracy = 50.00, Lagged Accuracy = 66.67, Counterfactual Accuracy = 72.22,  Blended Accuracy = 72.22,  RR Accuracy = 27.78  
2025-03-23 15:57:23,822 INFO -- Edge Accuracy = 57.89, Instantaneous Accuracy = 47.37, Lagged Accuracy = 63.16, Counterfactual Accuracy = 73.68,  Blended Accuracy = 68.42,  RR Accuracy = 26.32  
2025-03-23 16:07:04,923 INFO -- Edge Accuracy = 60.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 65.00, Counterfactual Accuracy = 75.00,  Blended Accuracy = 70.00,  RR Accuracy = 30.00  
2025-03-23 16:20:18,317 INFO -- Edge Accuracy = 61.90, Instantaneous Accuracy = 52.38, Lagged Accuracy = 66.67, Counterfactual Accuracy = 71.43,  Blended Accuracy = 71.43,  RR Accuracy = 28.57  
2025-03-23 16:32:22,917 INFO -- Edge Accuracy = 63.64, Instantaneous Accuracy = 54.55, Lagged Accuracy = 68.18, Counterfactual Accuracy = 68.18,  Blended Accuracy = 68.18,  RR Accuracy = 27.27  
2025-03-23 16:41:23,252 INFO -- Edge Accuracy = 60.87, Instantaneous Accuracy = 52.17, Lagged Accuracy = 69.57, Counterfactual Accuracy = 65.22,  Blended Accuracy = 65.22,  RR Accuracy = 26.09  
2025-03-23 17:06:16,990 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 100.00  
2025-03-23 17:20:27,564 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 50.00,  Blended Accuracy = 0.00,  RR Accuracy = 50.00  
2025-03-23 17:39:30,276 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 66.67, Lagged Accuracy = 66.67, Counterfactual Accuracy = 33.33,  Blended Accuracy = 33.33,  RR Accuracy = 33.33  
2025-03-23 17:54:07,761 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 75.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 25.00,  Blended Accuracy = 50.00,  RR Accuracy = 25.00  
2025-03-23 18:10:37,096 INFO -- Edge Accuracy = 80.00, Instantaneous Accuracy = 80.00, Lagged Accuracy = 40.00, Counterfactual Accuracy = 20.00,  Blended Accuracy = 60.00,  RR Accuracy = 20.00  
2025-03-23 18:28:55,534 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 66.67, Lagged Accuracy = 50.00, Counterfactual Accuracy = 33.33,  Blended Accuracy = 66.67,  RR Accuracy = 16.67  
