2025-03-20 10:48:45,948 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 100.00,  RR Accuracy = 0.00  
2025-03-20 10:50:25,656 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 100.00,  RR Accuracy = 50.00  
2025-03-20 10:55:49,731 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 33.33,  Blended Accuracy = 100.00,  RR Accuracy = 66.67  
2025-03-20 11:00:12,330 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 75.00, Lagged Accuracy = 75.00, Counterfactual Accuracy = 25.00,  Blended Accuracy = 75.00,  RR Accuracy = 75.00  
2025-03-20 11:04:10,358 INFO -- Edge Accuracy = 60.00, Instantaneous Accuracy = 60.00, Lagged Accuracy = 60.00, Counterfactual Accuracy = 40.00,  Blended Accuracy = 80.00,  RR Accuracy = 80.00  
2025-03-20 11:07:28,104 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 33.33,  Blended Accuracy = 66.67,  RR Accuracy = 66.67  
2025-03-20 11:10:54,283 INFO -- Edge Accuracy = 57.14, Instantaneous Accuracy = 57.14, Lagged Accuracy = 57.14, Counterfactual Accuracy = 28.57,  Blended Accuracy = 71.43,  RR Accuracy = 71.43  
2025-03-20 11:12:30,176 INFO -- Edge Accuracy = 62.50, Instantaneous Accuracy = 62.50, Lagged Accuracy = 50.00, Counterfactual Accuracy = 25.00,  Blended Accuracy = 62.50,  RR Accuracy = 62.50  
2025-03-20 11:14:16,618 INFO -- Edge Accuracy = 55.56, Instantaneous Accuracy = 55.56, Lagged Accuracy = 44.44, Counterfactual Accuracy = 22.22,  Blended Accuracy = 55.56,  RR Accuracy = 55.56  
2025-03-20 11:18:53,338 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 40.00, Counterfactual Accuracy = 20.00,  Blended Accuracy = 50.00,  RR Accuracy = 60.00  
2025-03-20 11:51:09,908 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 100.00,  RR Accuracy = 100.00  
2025-03-20 11:55:28,412 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 50.00,  RR Accuracy = 50.00  
2025-03-20 11:59:51,940 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 33.33, Counterfactual Accuracy = 0.00,  Blended Accuracy = 66.67,  RR Accuracy = 33.33  
2025-03-20 12:05:15,783 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 0.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 100.00  
2025-03-20 12:08:38,106 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 0.00,  Blended Accuracy = 0.00,  RR Accuracy = 0.00  
2025-03-20 12:10:50,675 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 50.00,  Blended Accuracy = 50.00,  RR Accuracy = 0.00  
2025-03-20 12:13:54,695 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 100.00, Counterfactual Accuracy = 66.67,  Blended Accuracy = 33.33,  RR Accuracy = 0.00  
2025-03-20 12:18:44,826 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 0.00, Lagged Accuracy = 75.00, Counterfactual Accuracy = 50.00,  Blended Accuracy = 50.00,  RR Accuracy = 0.00  
2025-03-20 12:22:31,733 INFO -- Edge Accuracy = 0.00, Instantaneous Accuracy = 20.00, Lagged Accuracy = 60.00, Counterfactual Accuracy = 40.00,  Blended Accuracy = 40.00,  RR Accuracy = 20.00  
2025-03-20 12:26:34,326 INFO -- Edge Accuracy = 16.67, Instantaneous Accuracy = 33.33, Lagged Accuracy = 66.67, Counterfactual Accuracy = 50.00,  Blended Accuracy = 50.00,  RR Accuracy = 33.33  
2025-03-20 12:30:04,660 INFO -- Edge Accuracy = 28.57, Instantaneous Accuracy = 42.86, Lagged Accuracy = 57.14, Counterfactual Accuracy = 57.14,  Blended Accuracy = 57.14,  RR Accuracy = 28.57  
