2025-03-22 00:19:56,889 INFO -- Edge Accuracy = 85.71, Instantaneous Accuracy = 71.43, Lagged Accuracy = 85.71, Counterfactual Accuracy = 28.57,  Blended Accuracy = 57.14,  RR Accuracy = 71.43  
2025-03-22 00:19:58,264 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 75.00, Lagged Accuracy = 75.00, Counterfactual Accuracy = 37.50,  Blended Accuracy = 62.50,  RR Accuracy = 75.00  
2025-03-22 00:20:00,250 INFO -- Edge Accuracy = 77.78, Instantaneous Accuracy = 77.78, Lagged Accuracy = 77.78, Counterfactual Accuracy = 44.44,  Blended Accuracy = 66.67,  RR Accuracy = 66.67  
2025-03-22 00:20:01,993 INFO -- Edge Accuracy = 80.00, Instantaneous Accuracy = 80.00, Lagged Accuracy = 80.00, Counterfactual Accuracy = 50.00,  Blended Accuracy = 70.00,  RR Accuracy = 70.00  
2025-03-22 00:20:03,574 INFO -- Edge Accuracy = 72.73, Instantaneous Accuracy = 72.73, Lagged Accuracy = 72.73, Counterfactual Accuracy = 54.55,  Blended Accuracy = 63.64,  RR Accuracy = 63.64  
2025-03-22 00:20:05,755 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 66.67, Lagged Accuracy = 75.00, Counterfactual Accuracy = 50.00,  Blended Accuracy = 58.33,  RR Accuracy = 66.67  
2025-03-22 00:20:08,134 INFO -- Edge Accuracy = 69.23, Instantaneous Accuracy = 69.23, Lagged Accuracy = 69.23, Counterfactual Accuracy = 46.15,  Blended Accuracy = 61.54,  RR Accuracy = 61.54  
2025-03-22 00:20:10,013 INFO -- Edge Accuracy = 64.29, Instantaneous Accuracy = 64.29, Lagged Accuracy = 64.29, Counterfactual Accuracy = 42.86,  Blended Accuracy = 57.14,  RR Accuracy = 57.14  
2025-03-22 00:20:12,341 INFO -- Edge Accuracy = 60.00, Instantaneous Accuracy = 66.67, Lagged Accuracy = 60.00, Counterfactual Accuracy = 46.67,  Blended Accuracy = 53.33,  RR Accuracy = 60.00  
2025-03-22 00:20:14,668 INFO -- Edge Accuracy = 62.50, Instantaneous Accuracy = 62.50, Lagged Accuracy = 62.50, Counterfactual Accuracy = 50.00,  Blended Accuracy = 56.25,  RR Accuracy = 62.50  
2025-03-22 00:20:29,243 INFO -- Edge Accuracy = 100.00, Instantaneous Accuracy = 100.00, Lagged Accuracy = 0.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 100.00,  RR Accuracy = 100.00  
2025-03-22 00:20:31,267 INFO -- Edge Accuracy = 50.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 0.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 50.00,  RR Accuracy = 100.00  
2025-03-22 00:20:33,328 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 66.67, Lagged Accuracy = 33.33, Counterfactual Accuracy = 100.00,  Blended Accuracy = 66.67,  RR Accuracy = 66.67  
2025-03-22 00:20:35,538 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 75.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 75.00,  RR Accuracy = 75.00  
2025-03-22 00:20:37,061 INFO -- Edge Accuracy = 60.00, Instantaneous Accuracy = 60.00, Lagged Accuracy = 40.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 80.00,  RR Accuracy = 80.00  
2025-03-22 00:20:38,546 INFO -- Edge Accuracy = 66.67, Instantaneous Accuracy = 50.00, Lagged Accuracy = 50.00, Counterfactual Accuracy = 100.00,  Blended Accuracy = 83.33,  RR Accuracy = 83.33  
2025-03-22 00:20:41,273 INFO -- Edge Accuracy = 71.43, Instantaneous Accuracy = 57.14, Lagged Accuracy = 57.14, Counterfactual Accuracy = 100.00,  Blended Accuracy = 85.71,  RR Accuracy = 85.71  
2025-03-22 00:20:43,501 INFO -- Edge Accuracy = 75.00, Instantaneous Accuracy = 50.00, Lagged Accuracy = 62.50, Counterfactual Accuracy = 87.50,  Blended Accuracy = 75.00,  RR Accuracy = 87.50  
2025-03-22 00:20:46,817 INFO -- Edge Accuracy = 77.78, Instantaneous Accuracy = 44.44, Lagged Accuracy = 66.67, Counterfactual Accuracy = 88.89,  Blended Accuracy = 77.78,  RR Accuracy = 88.89  
2025-03-22 00:20:48,595 INFO -- Edge Accuracy = 80.00, Instantaneous Accuracy = 40.00, Lagged Accuracy = 70.00, Counterfactual Accuracy = 90.00,  Blended Accuracy = 80.00,  RR Accuracy = 90.00  
2025-03-22 00:20:50,143 INFO -- Edge Accuracy = 81.82, Instantaneous Accuracy = 45.45, Lagged Accuracy = 72.73, Counterfactual Accuracy = 90.91,  Blended Accuracy = 81.82,  RR Accuracy = 81.82  
